FRAC_REF_ID;DPTO_REF_ID;IDFRAC
1;1;01
2;1;02
3;1;03
4;1;04
5;1;05
6;1;06
7;1;07
8;1;08
9;1;09
10;1;10
11;1;11
12;1;12
13;1;13
14;1;14
15;1;15
16;1;16
17;1;17
18;1;18
19;1;19
20;1;20
21;1;21
22;1;22
23;1;23
24;1;24
25;1;25
26;1;26
27;1;27
28;1;28
29;1;29
30;2;01
31;2;02
32;2;03
33;2;04
34;2;05
35;2;06
36;2;07
37;2;08
38;2;09
39;2;10
40;2;11
41;2;12
42;2;13
43;2;14
44;2;15
45;2;16
46;2;17
47;2;18
48;2;19
49;2;20
50;2;21
51;2;22
52;2;23
53;2;24
54;2;25
55;3;01
56;3;02
57;3;03
58;3;04
59;3;05
60;3;06
61;3;07
62;3;08
63;3;09
64;3;10
65;3;11
66;3;12
67;3;13
68;3;14
69;3;15
70;3;16
71;3;17
72;3;18
73;3;19
74;3;20
75;3;21
76;3;22
77;3;23
78;3;24
79;3;25
80;3;26
81;3;27
82;4;01
83;4;02
84;4;03
85;4;04
86;4;05
87;4;06
88;4;07
89;4;08
90;4;09
91;4;10
92;4;11
93;4;12
94;4;13
95;4;14
96;4;15
97;4;16
98;4;17
99;4;18
100;4;19
101;4;20
102;4;21
103;4;22
104;4;23
105;4;24
106;4;25
107;4;26
108;5;01
109;5;02
110;5;03
111;5;04
112;5;05
113;5;06
114;5;07
115;5;08
116;5;09
117;5;10
118;5;11
119;5;12
120;5;13
121;5;14
122;5;15
123;5;16
124;5;17
125;5;18
126;5;19
127;5;20
128;5;21
129;5;22
130;6;01
131;6;02
132;6;03
133;6;04
134;6;05
135;6;06
136;6;07
137;6;08
138;6;09
139;6;10
140;6;11
141;6;12
142;6;13
143;6;14
144;6;15
145;6;16
146;6;17
147;6;18
148;6;19
149;6;20
150;6;21
151;7;01
152;7;02
153;7;03
154;7;04
155;7;05
156;7;06
157;7;07
158;7;08
159;7;09
160;7;10
161;7;11
162;7;12
163;7;13
164;7;14
165;7;15
166;7;16
167;7;17
168;7;18
169;7;19
170;7;20
171;7;21
172;7;22
173;7;23
174;7;24
175;8;01
176;8;02
177;8;03
178;8;04
179;8;05
180;8;06
181;8;07
182;8;08
183;8;09
184;8;10
185;8;11
186;8;12
187;8;13
188;8;14
189;8;15
190;8;16
191;8;17
192;9;01
193;9;02
194;9;03
195;9;04
196;9;05
197;9;06
198;9;07
